client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec,model,exog_setting,uses_future_exog,future_exog_strategy
313,24,166705610.7025,10730.8494,12911.4527,1.39,0.1699,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
313,48,651087159.2166,19131.2727,25516.4096,1.39,0.2509,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
313,168,3407918310.5542,49322.8084,58377.3784,1.39,0.8871,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
155,24,8882736.0867,2548.638,2980.3919,2.38,0.1104,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
155,48,28118238.1966,3816.4943,5302.6633,2.38,0.2158,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
155,168,130564165.3912,8411.0222,11426.4678,2.38,0.8906,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
236,24,6073227.3325,1964.6974,2464.3919,1.09,0.1073,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
236,48,22645883.3195,3457.852,4758.7691,1.09,0.2485,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
236,168,47773169.1893,4972.4253,6911.8137,1.09,0.8533,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
167,24,2100228.006,1244.1554,1449.2163,2.03,0.1736,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
167,48,3041402.1583,1415.8429,1743.9616,2.03,0.2573,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
167,168,7057188.0243,2160.166,2656.5368,2.03,0.9232,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
186,24,18532064.2425,2669.6598,4304.8884,1.72,0.1159,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
186,48,19703542.7851,2924.7171,4438.8673,1.72,0.2124,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
186,168,34121769.3271,4267.7971,5841.3842,1.72,0.671,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
315,24,5710653.7587,1624.0785,2389.6974,0.57,0.0887,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
315,48,11531986.4828,2308.3781,3395.8779,0.57,0.1812,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
315,168,23993413.4078,3616.2511,4898.3072,0.57,0.6659,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
290,24,2379604.135,1218.5749,1542.5966,1.18,0.1218,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
290,48,4009676.6818,1636.755,2002.4177,1.18,0.1909,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
290,168,13041799.0374,2921.7745,3611.3431,1.18,0.6969,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
179,24,1327579.4344,961.8773,1152.2063,2.04,0.1114,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
179,48,2727013.9282,1313.6994,1651.3673,2.04,0.1921,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
179,168,5477649.1435,1971.0467,2340.4378,2.04,0.895,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
119,24,34498.2613,130.873,185.7371,1.26,0.1042,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
119,48,105613.2449,239.816,324.9819,1.26,0.2051,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
119,168,200583.7539,371.3165,447.8658,1.26,0.6963,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
314,24,280467.7157,431.4437,529.592,1.56,0.0981,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
314,48,1322509.6279,871.448,1150.0042,1.56,0.1992,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
314,168,8468282.7374,2228.4798,2910.0314,1.56,0.7111,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
317,24,433.3765,18.7537,20.8177,0.78,0.1627,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
317,48,508.9955,21.022,22.5609,0.78,0.203,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
317,168,4854.6417,60.6777,69.6753,0.78,0.6907,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
240,24,1744.6232,32.6469,41.7687,2.2,0.0963,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
240,48,11386.7161,67.3105,106.7086,2.2,0.1896,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
240,168,22211.4547,100.9328,149.0351,2.2,0.6916,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
26,24,3924.8056,52.5986,62.6483,1.4,0.1003,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
26,48,10425.4408,86.1879,102.105,1.4,0.1982,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
26,168,41568.084,184.898,203.8825,1.4,0.6974,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
203,24,1821.4605,35.6832,42.6786,0.66,0.0957,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
203,48,5671.1833,53.6815,75.3073,0.66,0.1901,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
203,168,12978.2308,80.5408,113.922,0.66,0.6711,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
134,24,7744.8118,74.1967,88.0046,1.86,0.0992,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
134,48,17173.2637,105.9313,131.0468,1.86,0.1973,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
134,168,88625.6887,245.9175,297.7007,1.86,0.7027,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
133,24,1132454.6758,884.2919,1064.1685,0.55,0.1194,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
133,48,1084795.0904,880.457,1041.535,0.55,0.1896,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
133,168,2331172.167,1203.0443,1526.8177,0.55,0.6694,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
220,24,7038.3782,71.6011,83.895,1.49,0.101,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
220,48,9172.1105,82.4772,95.7711,1.49,0.2024,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
220,168,22232.0783,132.9512,149.1043,1.49,0.7116,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
29,24,17398.9875,97.912,131.9052,0.88,0.1012,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
29,48,24657.4816,122.9421,157.027,0.88,0.1907,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
29,168,17835.5466,94.2962,133.5498,0.88,0.6832,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
62,24,1444.8218,35.7373,38.0108,3.61,0.1999,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
62,48,3682.2076,53.6501,60.6812,3.61,0.2324,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
62,168,6861.9847,76.5677,82.8371,3.61,0.899,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
269,24,301.6912,12.5232,17.3693,1.27,0.1194,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
269,48,376.3953,13.4715,19.4009,1.27,0.208,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
269,168,2191.3725,30.491,46.8121,1.27,0.7313,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
